"","Genes","log2FC","menoslog10p","pvalue"
"1","EHI_188960A",-1.902031845,6.09258863922541,8.08e-07
"2","EHI_126980A",-2.963541573,4.46092390120722,3.46e-05
"3","EHI_178340A",-2.673765561,4.14206473528057,7.21e-05
"4","EHI_033240A",-5.599162352,3.86950541147653,0.00013505
"5","EHI_152800A",-2.337048901,3.83476161095535,0.000146298
"6","EHI_004430A",-5.516612853,3.80139514147176,0.000157981
"7","EHI_155680A",-2.144397986,3.43256895170745,0.000369344
"8","EHI_134840A",-1.889362112,3.30810375425517,0.000491922
"9","EHI_048140A",-2.176193976,3.23329425163621,0.000584394
"10","EHI_009490A",-2.554312039,3.02034283768417,0.000954239
"11","EHI_100350A",-2.913358151,2.91413704427494,0.001218605
"12","EHI_172280A",-2.514932948,2.88397037181515,0.00130626
"13","EHI_036560A",-2.395896645,2.87485751850597,0.001333959
"14","EHI_177460A",-2.21401041,2.78327159538126,0.001647132
"15","EHI_058320A",-1.814207152,2.69510466410872,0.00201788
"16","EHI_105280A",-2.327799568,2.59982997847588,0.00251287
"17","EHI_140770A",-2.731467901,2.57436406477841,0.002664624
"18","EHI_038300A",-1.801777712,2.55255837391198,0.002801829
"19","EHI_092720A",-2.268972009,2.31732605659329,0.004815861
"20","EHI_103310A",-1.884636276,2.31241753557417,0.0048706
"21","EHI_099860A",-1.921299467,2.2171738492562,0.006064935
"22","EHI_174880A",-1.984390777,2.10901437428557,0.007780108
"23","EHI_089770A",-5.852493225,1.88098954324139,0.013152565
"24","EHI_160910A",-1.84745541,1.82221401834098,0.015058648
"25","EHI_023000A",-1.985676983,1.78162338004785,0.01653395
"26","EHI_153940.mRNA",-1.875857764,1.7196462780623,0.019070133
"27","EHI_162230A",-2.837165315,1.7001697699266,0.019944825
"28","EHI_033850A",-2.192651965,1.68873188816861,0.020477084
"29","EHI_114920A",-2.164580781,1.64602444454509,0.022593086
"30","EHI_026360A",-1.922367482,1.63834877650963,0.022995943
"31","EHI_183200A",-5.521760067,1.61710820399224,0.024148591
"32","EHI_049990A",-8.653125716,1.61234215073611,0.024415063
"33","EHI_152380A",-1.976508518,1.60562483529257,0.024795631
"34","EHI_032670A",-2.138288868,1.60407713706528,0.024884153
"35","EHI_153250A",-2.021096643,1.58848431833908,0.025793821
"36","EHI_156380A",-2.010710442,1.54980860123897,0.028196253
"37","EHI_159820A",-1.805369607,1.49100219558946,0.032284778
"38","EHI_148400A",-2.020780545,1.45572757513153,0.035016475
"39","EHI_180390A",-2.40507862,1.43752864744817,0.036515004
"40","EHI_136420A",-2.125524431,1.32082984004375,0.047771641
